"Word","Meaning","Usage"
"central casting","adjective: Stereotypical.
noun: A company or department that provides actors for minor or background roles, often based on stereotypical appearances.","“Joey turned back, catching his own reflection in the mirror. He liked the way he was coming into his look. ... Closer to the central casting look of a man of authority. Someone not to be questioned.” Peter Blauner; Sunrise Highway; St. Martin’s; 2018. “[Rishi Sunak] is sometimes imagined as a social liberal ... yet his CV is straight from Tory central casting: Winchester College, Oxford University, and the true-blue farming constituency of Richmond, in North Yorkshire.” Smiles Atop the Rubble; The Economist (London, UK); Oct 29, 2022."
"bunny boiler","noun: A person who is dangerously obsessive and vengeful, especially when spurned.","'Heigl plays Tessa, a Malibu supermom who turns bunny boiler after her stubble-bearded hubby David (Geoff Stults), a Wall Street hotshot turned California microbrewer, dumps her for his new lover Julia.' Peter Howell; This Revenge Thriller Is Easily Forgettable; Toronto Star (Canada); Apr 21, 2017."
"elsewhen","adverb: At another time.","“Unlike a black hole -- a region of space-time from which you cannot escape if you get too close -- a wormhole is a region into which you would disappear only to reappear elsewhere or elsewhen.” Robert Ehrlich; Everybody Knows the Image of T ...; The Washington Post; May 20, 2001."
"towardly","adverb:	1. In a compliant or docile manner.
	2. In a pleasant manner.
adjective:	1. Compliant.
	2. Pleasant.
	3. Favorable.
","“‘You’ll see,’ the girl whispered towardly, having cuddled under her thin blanket.” Viktor Khorunzhy; Jennifer. Residence of Grief; Andrew Afonin; 2016. “Master Wolfall was described by the captain of the ship Anne Francis as someone who had ‘a good, honest woman to wife and very towardly children’ ... I cannot recall my own children ever being described as ‘towardly’.” Rev. David Long; Church History Goes a Long Way Back; Tribune (Canada); Aug 31, 2002."
"passing","adverb:	To a surpassing degree.
adjective:	Transitory or cursory.
noun:	The act, process, or instance of transition, movement, or transference from one state, place, time, or condition to another.
","“It is passing strange that the ACCC should see fit not to reveal which banks are most vulnerable to scams.” Name the Banks Most Vulnerable to Scammers; Sydney Morning Herald (Australia); Oct 29, 2024."
"seemly","adverb:	1. In a pleasing manner.
	2. Suitably.
adjective:	1. Pleasing; handsome.
	2. Appropriate; fitting.
","“They spoke to each other while still waving and seemly smiling.” Son Of David; Hearts Window; Xlibris; 2012. “For much of General Franco’s dictatorship many of the clergy danced to his tune. A seemly distance between church and state is probably better for both, and certainly better for Spanish society at large.” State v Church; The Economist (London, UK); Apr 28, 2001."
"thither","adverb: To or towards that place.","“At some point in the conversation the Israeli PM excused himself and asked for the washroom. ... Thither Bibi repaired for a while, and it may or may not be a coincidence but I am told that later, when they were doing a regular sweep for bugs, they found a listening device in the thunderbox [washroom].” Boris Johnson; Unleashed; Harper; 2024."
"automania","noun:
1. An obsession with oneself; egomania.
2. An obsession with automobiles or fast driving.","“So my automania -- my desire for my self to live, to continue; eternity became a fixation.” John E. Muller; Survival Project; Orion; 1966. “It’s clear that Cars holds a special place in Lasseter’s heart, partly because of the automania that’s been a part of his life for as long as he can remember. ‘I’m a car nut,’ he says, offering by way of explanation: ‘My father was a parts manager at a Chevrolet dealership.’” Marc Lee; What Drives the Man at Pixar?; The Daily Telegraph (London, UK); Jul 16, 2011."
"airhead","noun:
1. An area in a hostile territory, secured for bringing in supplies and personnel by air.
2. A silly or unintelligent person.
3. A horizontal channel created to provide ventilation in a mine.","“As the Allied armies advanced east, the Dakotas landed at recently captured German airfields and finally at Brussels, which became a major airhead.” Ken Cranefield: Pilot Badly Wounded Dropping Supplies Over Arnhem in 1944; The Daily Telegraph (London, UK); Oct 19, 2016. “Jeff Spicoli, the surfing-obsessed truant ... may have been an airhead, but he had a vocabulary. Things he enjoyed were ‘gnarly’ or ‘humongous’.” Glenn Kenny; The Greatest Surf Movie in the Universe; The New York Times; Aug 16, 2024."
"monophagy","noun:
1. The eating of only one kind of food.
2. The act of eating alone.","“I feel your pain, but monophagy isn’t a diet that anyone is recommending. ... Mike Roman, from Hackensack, New Jersey, says he has eaten a plain cheese pizza for dinner every night for the past 37 years, since he was four.” That’s Monophagous: the Woman Who Drinks Nothing but Pepsi and Has Done for the Past 64 Years; The Guardian (London, UK); Oct 16, 2018. “Monophagy makes a man melancholy and unsocial. ... If a man dines alone, and has a good dinner, how can he praise it properly if he does not praise it on the spot.” George Webbe Dasent; Three to One, Vol. 2; Chapman and Hall; 1872."
"secular","adjective:	1. Relating to worldly rather than religious matters.
	2. Occurring once in an age or century.
	3. Enduring over an extended period.
noun:	1. A member of clergy not bound by monastic vows.
	2. A layperson.
","“Pilgrims to the gravesite often visit Safed, whose picturesque labyrinth of cobblestone streets attracts secular tourists as well.” Canaan Lidor; Resolve in Safed Amid Rockets; Montreal Gazette (Canada); Sep 30, 2024. “Like the Roman emperors, Trump has done a good job of presenting himself as the proponent of a new age. His America is not ‘great’, but it can be ‘great again’. Augustus, Claudius, and Domitian peddled the same myth. With the celebratory Secular Games, they signalled that Rome was waving goodbye to one age and entering a new one reminiscent of the fabled days of old.” Daisy Dunn; What the Lessons of the Roman Empire Can Teach Us About Donald Trump; The New Statesman (London, UK); Jan 25, 2017. “Juvenile systems, including those in Michigan, continue to shrink due to a secular trend of lower juvenile crime and fewer arrests.” Stop Charging 17-Year-Olds as Adults; Detroit Free Press (Michigan); Apr 11, 2019."
"wonky","adjective:
1. Unreliable; unsteady; not working properly.
2. Concerned with minute details in a field; nerdy.","“Even in buildings that have light and motion sensors, the technology is notoriously wonky: They can turn off the lights if someone is standing still or working at a computer.” Erica Langston; Dim-Witted; Mother Jones (San Francisco); Nov/Dec 2016. “As wonky as they are, the Gateses quickly realized that the social part of the foundation was vital. ... [Melinda] once recounted Bill’s observation: ‘I’m starting to realize that talking to people about tuberculosis at a cocktail party doesn’t go so well.’” Laura Brown; The Savior in Seattle; Harper’s Bazaar (New York); Sep 2014."
"nefandous","adjective: So wicked as to defy description: abominable, appalling.","“Does it not, then, fit such a man to a hair to call him nefandous? ... Better kiss an asp or a viper; then the risk is a bite and a pain which the doctor cures when you call him. But from the venom of your kiss, who could approach victims or altars? What god would listen to one’s prayer?” Lucian (Translation: H.W. Fowler and F.G Fowler); The Works of Lucian of Samosata; Oxford University Press; 1905."
"minacious","adjective: Threatening or menacing.","“[Marilyn Manson’s] vocal delivery of this song makes this probably one of the scariest covers ever. His minacious vocals makes you feel like you should constantly be looking over your shoulder.” Ellen Fike; Halloween Music; Wyoming Tribune-Eagle (Cheyenne); Oct 12, 2015."
"perfidious","adjective: Treacherous; deceitful.","“According to Barnum’s version of events, he was ruined by a perfidious business partner, who tricked him into endorsing half a million dollars’ worth of promissory notes.” Elizabeth Kolbert; You Can’t Make It Up; The New Yorker; Aug 5, 2019."
"prickmedainty","noun: One overly concerned with their personal appearance: dandy.
adjective: Overly concerned about one’s appearance.","“The fellow is something of a prickmedainty.” Amanda Scott; Border Wedding; Forever; 2008."
"cumberworld","noun: A useless person.","“I don’t have to accept your coin, cumberworld. I don’t have time to accept anything at all from you -- not lies, not threats, not anything.” N.M. Zoltack; Keepers of the Flames; N.M. Zoltack; 2022."
"psychrolute","noun: One who likes to bathe in cold water, especially outdoors in natural bodies of water such as rivers, lakes, and oceans.","“So if you’re out on the island and you spy a human figure swimming amid the swans and mallards and the odd chunk of ice, don’t be alarmed. It’s just me, your friendly neighbourhood psychrolute.” Kathleen McDonnell; Greetings From a Chilly Beach; The Globe and Mail (Toronto, Canada); Mar 22, 2006."
"empleomania","noun: Mania for holding public office.","“Then it dawned on me that Mr. Yang’s desire to become a scholar-official might not have originated only from empleomania. Driven to despair, he too must have thought of officialdom as the only possible way to live a life different from a futile intellectual’s.” Ha Jin; The Crazed; Vintage; 2007."
"rupestrian","adjective: Relating to, composed of, or carved on rocks.","“Set in a former 13th-century rupestrian chapel, the hotel has incredible interiors, with towering arches, golden stone, and rooms carved into the cave.” Zara Sekhavati; Matera Life & Death; The Independent (London, UK); Jan 12, 2019."
"abulia","noun: An inability to make decisions.","“This dilemma truly puzzles the brain and confounds the sense. Overcome by a Hamlet abulia moment, I’m now totally undecided about the right thing to do in these circumstances.” Mark Carew; A Reunion to Invite, or Not to Invite; Sydney Morning Herald (Australia); Jul 18, 2012."
"siderodromophobia","noun: The fear of trains.","“He went at night, by sleeper, and was able to make the most interesting observations of siderodromophobia. ... he was aghast with certainty that something had gone wrong -- a bridge was out, a train was ahead of them; perhaps another was coming just behind them, about to smash into them at sixty miles an hour.” Sinclair Lewis; Arrowsmith; Harcourt Brace; 1925."
"ombrophobe","noun:
1. One who hates or fears rain.
2. A plant that cannot tolerate rainy conditions.","“[In The Notebook], during a deluge whose quick start puts Florida thunderstorms to shame, Allie and Noah begin to clear the air and reunite with a steaming hot kiss. Even an ombrophobe may hazard some time out in the rain for a kiss like that.” Lauren Delgado; Cinema Sweethearts; Northwest Florida Daily News (Fort Walton Beach, Florida); Feb 8, 2015."
"melomania","noun: An inordinate enthusiasm for music.","“[Babylon] ... is home to some very serious and sophisticated music making. Indeed, the whole neighborhood seems to be gripped by melomania.” John Ash; Celebration: Istanbul; The New York Times Magazine; Sep 16, 2001."
"sarcophagus","noun: A stone coffin, often inscribed or decorated.","“The shop’s most expensive gift [item] ever was a Boeing jet for $35m in 1999. The most memorable have included a submarine ($20m), ... and ‘His and Hers’ mummy cases for $6,000 in 1971 ($35,000 in modern money). A mummy was unexpectedly discovered in one sarcophagus, which caused a spot of bother. A death certificate had to be issued before it could be delivered. Gift wrapping was optional.” Hold the Myrrh -- The Neiman Marcus Catalogue; The Economist (London, UK); Oct 18, 2014."
"canophilist","noun: A person who loves dogs.","“I’m not a ‘doggy’ person nor even a canophilist.” William Henry Hudson; Afoot in England; Hutchinson & Co; 1909."
"archaeolatry","noun: Excessive reverence for the past: an earlier time, old customs, antiquity, etc.","“Although recourse to the classical past is hardly a criminal offense what the prosecutors were trying to foreground in this case was the connection between the party’s archaeolatry and Nazism.” Eleftheria Ioannidou; Mythologies of Genesis and Neo-Nazi Palingenesis [rebirth]; Humanities (Basel, Switzerland); Aug 2022."
"insufflate","verb tr.:
1. To blow or breathe into.
2. To treat by blowing air, gas, vapor, or powder into a body cavity.
3. To bless by breathing or blowing on baptismal water or a person.","“Stunning live performances of traditional Mexican dance insufflated life and movement to the creations of American-born artist Nicolas V. Sanchez.” Farah Abdessamad; “Art on Paper” at Pier 36 Held for the First Time Since Mar 2020; The New York Observer; Sep 14, 2021."
"spanghew","verb tr.: To throw violently into the air.","“Spanghew his jacket, when you’ve riped [searched] his pockets.” Wilfrid Wilson Gibson; Krindlesyke; Macmillan; 1922."
"peregrinate","verb tr., intr.: To travel, especially to wander from place to place.","“All my traveling life, 40 years of peregrinating Africa, Asia, South America, and Oceania, I have thought constantly of home -- and especially of the America I had never seen.” Paul Theroux; The Long Way Home; Smithsonian (Washington, DC); Sep 2009."
"quetch","verb intr.:
1. To twitch or stir.
2. To break the silence by uttering a sound.","“The hyena howled, berating himself for his paralysis, quetching into the air at his own stupidity.” Jonathon Chase; Between; WestBow Press; 2014."
"nidify","verb intr.: To build a nest.","“At the beginning of August, when we arrived in Weimar, almost everyone was away -- ‘at the Baths,’ of course -- except the tradespeople. As birds nidify in the spring, so Germans wash themselves in the summer.” George Eliot; The Spanish Gypsy; Worthington; 1890. “The bird’s ‘most favourite place to nidify in’, says an old book, ‘is in the impressed footmarks of cattle, made in damp soil, which offers, when hardened by the sun, a sufficient protection for the young.’” Michael Viney; Larksong an Abiding Sign of Life; Irish Times (Dublin); Jun 17, 2006."
"onolatry","noun:
1. Worship of the donkey or ass.
2. Devotion to foolishness.","“From his foretelling hoofs; the bray Of the world of asses following Darius -- The sound that scattered the great Scythian hordes; The sound of the crowd’s onolatry, and after.” Edith Sitwell; Out of School: To José Garcia Villa; The Atlantic; Jun 1949."
"grizzle","verb tr.:	To make gray.
verb intr.:	1. To turn gray.
	2. To fuss; to gripe or grumble.
noun:	1. An animal with gray or grizzled fur.
	2. Gray hair.
adjective:	1. Having gray hair.
	2. Gray.
","“My hair has grizzled, I’ve developed a paunch and some rather unpalatable views.” Sam Wollaston; On the Road; The Guardian (London, UK); Feb 18, 2012. “Last night, as I was trying to settle my fretting son to sleep, I had a thought, clear as day: ‘I just don’t want to do this any longer.’ He’d been grizzling for 45 minutes, his dad was out, and after a long day at work, all I wanted was a glass of wine and some mindless telly.” Cathy Adams; Mother Knows Best; The Independent (London, UK); May 10, 2021. “Consider that I have no hair, no fur, no raiment to disarrange. No silver-trimmed livery-hat to hang on a peg, like Thomas. No grizzle wig to keep free of lice.” Verlyn Klinkenborg; Timothy; Vintage; 2007."
